,Decode time
606,0.002542668953537941
607,0.0026342119090259075
608,0.0025420021265745163
609,0.00257099699229002
610,0.0025749108754098415
611,0.0026352691929787397
612,0.00267043081112206
613,0.0025492471177130938
614,0.002539359964430332
615,0.002631095005199313
616,0.0026253440883010626
617,0.0025631689932197332
618,0.0025777718983590603
619,0.002644351916387677
620,0.0026633788365870714
621,0.0025465579237788916
622,0.0025385210756212473
623,0.0026296419091522694
624,0.0025456068105995655
625,0.0025659031234681606
626,0.0025765481404960155
627,0.002648046938702464
628,0.002663903869688511
629,0.0025564138777554035
630,0.0025436501018702984
631,0.0026233720127493143
632,0.002549366094172001
633,0.0025716829113662243
634,0.0025701120030134916
635,0.002635112963616848
636,0.002744767116382718
637,0.002528150798752904
638,0.0026174471713602543
639,0.0026966489385813475
