,Slowest end time,Training end time,Delay time (sec),Training stall time (sec),Training Stall time (sec)_gpu0,Training Stall time (sec)_gpu1,Training Stall time (sec)_gpu2,Training Stall time (sec)_gpu3
129,2021-08-19 14:52:51.158012,2021-08-19 14:52:55.638648,0,0,0,0,0,0
130,2021-08-19 14:53:01.373762,2021-08-19 14:53:02.284062,0.005843000000000487,5.735114,5.729271,5.73199,5.732878,5.735114
131,2021-08-19 14:53:02.569091,2021-08-19 14:53:03.479391,0.005857000000000001,0.285029,0.279172,0.281878,0.283846,0.285029
132,2021-08-19 14:52:59.692302,2021-08-19 14:53:04.389691,0,0,0,0,0,0
133,2021-08-19 14:53:09.740599,2021-08-19 14:53:10.650899,0.005843000000000487,5.350908,5.345065,5.347784,5.348672,5.350908
134,2021-08-19 14:53:11.534803,2021-08-19 14:53:12.445103,0.005857000000000001,0.883904,0.878047,0.880753,0.882721,0.883904
135,2021-08-19 14:53:08.658279,2021-08-19 14:53:13.355403,0,0,0,0,0,0
136,2021-08-19 14:53:18.530573,2021-08-19 14:53:19.440873,0.0058429999999995985,5.17517,5.169327,5.172046,5.172934,5.17517
137,2021-08-19 14:53:20.551891,2021-08-19 14:53:21.462191,0.005857000000000001,1.111018,1.105161,1.107867,1.109835,1.111018
138,2021-08-19 14:53:17.530427,2021-08-19 14:53:22.372491,0,0,0,0,0,0
139,2021-08-19 14:53:27.095011,2021-08-19 14:53:28.005311,0.005843000000000487,4.72252,4.716677,4.719396,4.720284,4.72252
140,2021-08-19 14:53:29.284419,2021-08-19 14:53:30.194719,0.005857000000000001,1.279108,1.273251,1.275957,1.277925,1.279108
141,2021-08-19 14:53:26.141244,2021-08-19 14:53:31.105019,0,0,0,0,0,0
142,2021-08-19 14:53:35.421873,2021-08-19 14:53:36.332173,0.005843000000000487,4.316854,4.311011,4.31373,4.314618,4.316854
143,2021-08-19 14:53:38.079351,2021-08-19 14:53:38.989651,0.005857000000000001,1.747178,1.741321,1.744027,1.745995,1.747178
144,2021-08-19 14:53:34.747954,2021-08-19 14:53:39.899951,0,0,0,0,0,0
145,2021-08-19 14:53:44.197937,2021-08-19 14:53:45.108237,0.0058429999999995985,4.297986,4.292143,4.294862,4.29575,4.297986
146,2021-08-19 14:53:46.783388,2021-08-19 14:53:47.693688,0.005857000000000001,1.675151,1.669294,1.672,1.673968,1.675151
147,2021-08-19 14:53:43.308548,2021-08-19 14:53:48.603988,0,0,0,0,0,0
148,2021-08-19 14:53:52.956287,2021-08-19 14:53:53.866587,0.005843000000000487,4.352299,4.346456,4.349175,4.350063,4.352299
149,2021-08-19 14:53:55.293545,2021-08-19 14:53:56.203845,0.005857000000000001,1.426958,1.421101,1.423807,1.425775,1.426958
150,2021-08-19 14:53:52.042948,2021-08-19 14:53:57.114145,0,0,0,0,0,0
151,2021-08-19 14:54:01.795159,2021-08-19 14:54:02.705459,0.005843000000000487,4.681014,4.675171,4.67789,4.678778,4.681014
152,2021-08-19 14:54:04.146201,2021-08-19 14:54:05.056501,0.005857000000000001,1.440742,1.434885,1.437591,1.439559,1.440742
