,Slowest end time,Training end time,Delay time (sec),Training stall time (sec),Training Stall time (sec)_gpu0,Training Stall time (sec)_gpu1,Training Stall time (sec)_gpu2,Training Stall time (sec)_gpu3
226,2021-08-19 14:57:54.602838,2021-08-19 14:58:01.666353,0,0,0,0,0,0
227,2021-08-19 14:58:03.952424,2021-08-19 14:58:04.862724,0.0,2.286071,2.286071,2.153397,1.913927,2.01571
228,2021-08-19 14:58:04.771614,2021-08-19 14:58:05.773024,0,0,0,0,0,0
229,2021-08-19 14:58:05.721271,2021-08-19 14:58:06.683324,0,0,0,0,0,0
230,2021-08-19 14:58:12.855386,2021-08-19 14:58:13.765686,0.2016120000000008,6.172062,5.97045,6.172062,6.007257,5.896991
231,2021-08-19 14:58:13.547563,2021-08-19 14:58:14.675986,0,0,0,0,0,0
232,2021-08-19 14:58:14.819171,2021-08-19 14:58:15.729471,0.143185,0.143185,0,0.143185,0,0
233,2021-08-19 14:58:21.920305,2021-08-19 14:58:22.830605,0.349488,6.190834,5.841346,5.80741,6.190834,5.974694
234,2021-08-19 14:58:22.519630,2021-08-19 14:58:23.740905,0,0,0,0,0,0
235,2021-08-19 14:58:23.239377,2021-08-19 14:58:24.651205,0,0,0,0,0,0
236,2021-08-19 14:58:31.374178,2021-08-19 14:58:32.284478,0.5510169999999999,6.722973,6.171956,5.743178,6.722973,5.926077
237,2021-08-19 14:58:32.127587,2021-08-19 14:58:33.194778,0,0,0,0,0,0
238,2021-08-19 14:58:33.342068,2021-08-19 14:58:34.252368,0.0,0.14729,0.14729,0,0,0
239,2021-08-19 14:58:39.449256,2021-08-19 14:58:40.359556,0.11629700000000032,5.196888,5.080591,4.812496,5.011558,5.196888
240,2021-08-19 14:58:40.460506,2021-08-19 14:58:41.370806,0.0,0.10095,0.10095,0,0,0
241,2021-08-19 14:58:41.029920,2021-08-19 14:58:42.281106,0,0,0,0,0,0
242,2021-08-19 14:58:48.229667,2021-08-19 14:58:49.139967,0.0,5.948561,5.948561,5.711499,5.549555,5.794345
243,2021-08-19 14:58:48.511218,2021-08-19 14:58:50.050267,0,0,0,0,0,0
244,2021-08-19 14:58:49.750116,2021-08-19 14:58:50.960567,0,0,0,0,0,0
